product_name,product_code,ITEMS,product_price,message,score,created_at
[얼리썸머특가] 마이해빗 까만콩 쉐이크 2박스,13,까만콩 쉐이크,44900,"건더기가 씹힐줄은 몰랐는데
저는 그게 조금 아쉬웠어요
그외에는 먹기편하고 깔끔하게 포장되어있어 좋아요^^





(2024-04-24 07:54:21 에 등록된 네이버 페이 구매평)",4,2024-04-25 02:38:07 +0900
마이해빗 프리미엄 효소습관 데일리 3.5g x 30포,18,효소습관 데일리,48000,"최고입니다. 고민말고ㅜ주문하세요 !!!
ㅎㅎ",5,2024-07-21 20:54:00 +0900
마이해빗 프리미엄 효소습관 데일리 3.5g x 30포,18,효소습관 데일리,48000,"누룽지 맛도 괜찮지만 저는 역쉬 오리지널!
근데 효소 최고인것 같아요! ☺️",4,2024-06-22 13:10:00 +0900
마이해빗 프리미엄 효소습관 데일리 3.5g x 30포,18,효소습관 데일리,48000,잘 산 것 같아 기분이 좋아요 👍👍,5,2024-06-16 19:21:00 +0900
마이해빗 프리미엄 효소습관 데일리 3.5g x 30포,18,효소습관 데일리,48000,잘 산 것 같아 기분이 좋아요 👍👍,5,2024-06-03 09:43:00 +0900
마이해빗 프리미엄 효소습관 데일리 3.5g x 30포,18,효소습관 데일리,48000,꾸준히 먹고있어요. ^^. 좋아요,5,2024-05-06 10:38:00 +0900
마이해빗 프리미엄 효소습관 데일리 3.5g x 30포,18,효소습관 데일리,48000,저도 먹고 엄마도 보내줬는데 확실히 변비있던 사람한텐 좋은듯!! 엄마는 극극심한변비인데… 먹고 나서 아주좋다고 하심.. 또 주문해달라구…..ㅎㅎ,5,2024-04-28 21:18:00 +0900
마이해빗 프리미엄 효소습관 데일리 3.5g x 30포,18,효소습관 데일리,48000,만족해요. 꽤 좋은 선택이었던 것 같아요.😆 감사합니다!,5,2024-04-07 21:02:00 +0900
마이해빗 프리미엄 효소습관 데일리 3.5g x 30포,18,효소습관 데일리,48000,만족스럽습니다 꾸준히 먹고있어요,5,2024-02-18 20:36:00 +0900
마이해빗 프리미엄 효소습관 데일리 3.5g x 30포,18,효소습관 데일리,48000,만족해요. 꽤 좋은 선택이었던 것 같아요.😃 감사합니다!,5,2024-02-05 19:36:00 +0900
마이해빗 프리미엄 효소습관 데일리 3.5g x 30포,18,효소습관 데일리,48000,엄마가 늘 소화가 안되셔서 힘들어 하셨는데 마이해빗 효소 드시고 속이 너무 편해서 어디를 가시든 챙겨가지고 다니실 정도세요~! 그래서 떨어지지 않게 꾸준히 챙겨드리고 있어요~,5,2024-02-02 20:14:00 +0900
마이해빗 프리미엄 효소습관 체험키트 3.5g x 3포,98,효소습관 체험키트,5000,만족할 만큼 좋은 상품이에요🌈 감사합니다.,5,2024-07-08 12:01:00 +0900
마이해빗 프리미엄 효소습관 체험키트 3.5g x 3포,98,효소습관 체험키트,5000,체험분 수령이에요. 괜찮네요,5,2024-06-18 21:03:00 +0900
마이해빗 프리미엄 효소습관 체험키트 3.5g x 3포,98,효소습관 체험키트,5000,먹기 불편해여 목에 달라 붙어서 물 없으면 좀 고생 이네요,4,2024-05-30 20:40:00 +0900
마이해빗 프리미엄 효소습관 체험키트 3.5g x 3포,98,효소습관 체험키트,5000,만족해요. 꽤 좋은 선택이었던 것 같아요.🙂 감사합니다!,5,2024-05-30 10:33:00 +0900
마이해빗 프리미엄 효소습관 체험키트 3.5g x 3포,98,효소습관 체험키트,5000,만족해요. 꽤 좋은 선택이었던 것 같아요.😍 감사합니다!,5,2024-05-07 14:29:00 +0900
마이해빗 프리미엄 효소습관 체험키트 3.5g x 3포,98,효소습관 체험키트,5000,만족할 만큼 좋은 상품이에요🍀 감사합니다.,5,2024-05-05 08:11:00 +0900
마이해빗 프리미엄 효소습관 체험키트 3.5g x 3포,98,효소습관 체험키트,5000,만족할 만큼 좋은 상품이에요😆 감사합니다.,5,2024-05-01 01:23:00 +0900
마이해빗 프리미엄 효소습관 체험키트 3.5g x 3포,98,효소습관 체험키트,5000,만족해요. 꽤 좋은 선택이었던 것 같아요.🙂 감사합니다!,5,2024-04-25 00:20:00 +0900
마이해빗 프리미엄 효소습관 체험키트 3.5g x 3포,98,효소습관 체험키트,5000,잘 산 것 같아 기분이 좋아요 😍😍,5,2024-04-10 18:39:00 +0900
마이해빗 프리미엄 효소습관 체험키트 3.5g x 3포,98,효소습관 체험키트,5000,만족할 만큼 좋은 상품이에요😆 감사합니다.,4,2024-03-23 19:36:00 +0900
마이해빗 프리미엄 효소습관 체험키트 3.5g x 3포,98,효소습관 체험키트,5000,맛있고 간편해서 젛아요. 배도 물론 부르고!,5,2024-02-28 10:37:00 +0900
마이해빗 프리미엄 효소습관 체험키트 3.5g x 3포,98,효소습관 체험키트,5000,만족할 만큼 좋은 상품이에요🌈 감사합니다.,5,2024-02-26 12:48:00 +0900
마이해빗 프리미엄 효소습관 체험키트 3.5g x 3포,98,효소습관 체험키트,5000,아직 안먹었는데 좋을거 같아요!!,5,2024-02-24 20:17:00 +0900
마이해빗 프리미엄 효소습관 체험키트 3.5g x 3포,98,효소습관 체험키트,5000,만족해요. 꽤 좋은 선택이었던 것 같아요.😍 감사합니다!,5,2024-02-21 19:41:00 +0900
마이해빗 프리미엄 효소습관 체험키트 3.5g x 3포,98,효소습관 체험키트,5000,만족할 만큼 좋은 상품이에요😍 감사합니다.,5,2024-02-21 19:06:00 +0900
마이해빗 프리미엄 효소습관 체험키트 3.5g x 3포,98,효소습관 체험키트,5000,만족할 만큼 좋은 상품이에요😍 감사합니다.,4,2024-02-04 20:56:00 +0900
마이해빗 프리미엄 효소습관 체험키트 3.5g x 3포,98,효소습관 체험키트,5000,소화가 잘 돼요♡♡♡,5,2024-02-03 19:54:00 +0900
마이해빗 프리미엄 효소습관 체험키트 3.5g x 3포,98,효소습관 체험키트,5000,잘 산 것 같아 기분이 좋아요 🍀🍀,5,2024-02-02 20:14:00 +0900
마이해빗 프리미엄 효소습관 체험키트 3.5g x 3포,98,효소습관 체험키트,5000,잘 산 것 같아 기분이 좋아요 🙂🙂,5,2024-02-01 10:00:00 +0900
마이해빗 프리미엄 효소습관 체험키트 3.5g x 3포,98,효소습관 체험키트,5000,맛이 너무나 좋아요. 적극추천합니다,5,2024-01-31 22:01:00 +0900
마이해빗 프리미엄 효소습관 체험키트 3.5g x 3포,98,효소습관 체험키트,5000,만족해요. 꽤 좋은 선택이었던 것 같아요.🌈 감사합니다!,5,2024-01-31 20:59:00 +0900
마이해빗 프리미엄 효소습관 체험키트 3.5g x 3포,98,효소습관 체험키트,5000,잘 산 것 같아 기분이 좋아요 🌈🌈,5,2024-01-08 13:18:00 +0900
마이해빗 프리미엄 효소습관 체험키트 3.5g x 3포,98,효소습관 체험키트,5000,잘 산 것 같아 기분이 좋아요 🙂🙂,5,2024-01-03 13:38:00 +0900
[얼리썸머특가] 마이해빗 프리미엄 다이어트 유산균 2BOX,110,다이어트 유산균,110000,가격이 좀 부담돼요ㅡㅜ 저한테 맞아서 먹는중,4,2024-06-22 13:19:00 +0900
[얼리썸머특가] 마이해빗 프리미엄 다이어트 유산균 2BOX,110,다이어트 유산균,110000,만족해요. 꽤 좋은 선택이었던 것 같아요.🙂 감사합니다!,5,2024-06-21 08:27:00 +0900
[얼리썸머특가] 마이해빗 프리미엄 다이어트 유산균 2BOX,110,다이어트 유산균,110000,"항상구매하고있는 제품입니다.

(2024-06-20 14:07:00 에 등록된 네이버 페이 구매평)",5,2024-06-21 02:47:40 +0900
[얼리썸머특가] 마이해빗 프리미엄 다이어트 유산균 2BOX,110,다이어트 유산균,110000,만족할 만큼 좋은 상품이에요🌈 감사합니다.,5,2024-06-04 20:41:00 +0900
[얼리썸머특가] 마이해빗 프리미엄 다이어트 유산균 2BOX,110,다이어트 유산균,110000,나쁘지 않은 선택이었던 것 같아요 🕵️🕵️,3,2024-06-01 19:43:00 +0900
[1&1] 마이해빗 프리미엄 효소습관,236,효소습관 오리지널,81000,"이거 하나면 속이 그렇게 편할 수 없어요~
하루 세번도 먹는데 그런날은 화장실이 세상 편합니다~^^





(2024-07-30 08:33:51 에 등록된 네이버 페이 구매평)",5,2024-07-31 02:38:23 +0900
[1&1] 마이해빗 프리미엄 효소습관,236,효소습관 오리지널,81000,잘 산 것 같아 기분이 좋아요 😃😃,5,2024-07-28 19:43:00 +0900
[1&1] 마이해빗 프리미엄 효소습관,236,효소습관 오리지널,81000,만족할 만큼 좋은 상품이에요😍 감사합니다.,4,2024-07-23 22:17:00 +0900
[1&1] 마이해빗 프리미엄 효소습관,236,효소습관 오리지널,81000,"속 편하고 화장실도 잘 가서 좋아요

(2024-07-21 10:51:45 에 등록된 네이버 페이 구매평)",5,2024-07-22 02:43:35 +0900
[1&1] 마이해빗 프리미엄 효소습관,236,효소습관 오리지널,81000,만족해요. 꽤 좋은 선택이었던 것 같아요.🙂 감사합니다!,5,2024-07-13 19:34:00 +0900
[1&1] 마이해빗 프리미엄 효소습관,236,효소습관 오리지널,81000,만족할 만큼 좋은 상품이에요🍀 감사합니다.,5,2024-07-08 12:01:00 +0900
[1&1] 마이해빗 프리미엄 효소습관,236,효소습관 오리지널,81000,잘 산 것 같아 기분이 좋아요 🌈🌈,5,2024-07-06 23:27:00 +0900
[1&1] 마이해빗 프리미엄 효소습관,236,효소습관 오리지널,81000,잘 산 것 같아 기분이 좋아요 😀😀,5,2024-07-06 21:08:00 +0900
[1&1] 마이해빗 프리미엄 효소습관,236,효소습관 오리지널,81000,만족해요. 꽤 좋은 선택이었던 것 같아요.😍 감사합니다!,5,2024-07-04 19:14:00 +0900
[1&1] 마이해빗 프리미엄 효소습관,236,효소습관 오리지널,81000,만족해요. 꽤 좋은 선택이었던 것 같아요.🌈 감사합니다!,5,2024-07-03 19:26:00 +0900
[1&1] 마이해빗 프리미엄 효소습관,236,효소습관 오리지널,81000,만족할 만큼 좋은 상품이에요🍀 감사합니다.,5,2024-07-03 19:19:00 +0900
[1&1] 마이해빗 프리미엄 효소습관,236,효소습관 오리지널,81000,"홀리님이 꾸준히 드신다는 효소여서
찾아서 구매하게 됐습니다!
식후로 꾸준히 먹고 있는데
마음이 편안해요ㅋㅋㅋㅋㅋㅋㅋ
다른 효소들 보다 덜 달고 꼬수운게
아주 맛있습니다",5,2024-07-02 19:23:00 +0900
[1&1] 마이해빗 프리미엄 효소습관,236,효소습관 오리지널,81000,"확실히 먹으면 과식했을 때나 속 더부룩할 때 속이 편해지는 시간이 빨라요. 안 먹을 때랑 먹을 때랑 차이가 나서 추가로 주문했어요

(2024-07-01 10:51:04 에 등록된 네이버 페이 구매평)",5,2024-07-02 02:44:33 +0900
[1&1] 마이해빗 프리미엄 효소습관,236,효소습관 오리지널,81000,"늘 잘챙겨 먹고 있어요
다른...
늘 잘챙겨 먹고 있어요
다른거 못 먹어어요😆",5,2024-06-29 23:14:00 +0900
